album	artist	genre	release_date	critic	score	body
Back Again!	Mr. Cheeks	Rap	2003-03-18 00:00:00	Blender	67.0	"Full of standard-issue street rhymes and treacly R&B; hooks, Back Again makes you want to shout ""Cut!"" halfway through. [#15, p.125]"
Success	KEN mode	Pop/Rock	2015-06-16 00:00:00	Consequence of Sound	65.0	At its best, KEN Mode grabs handfuls of patches from heavy, pissed off bands and sews them together into a single misanthropic flag. By honing in on a smaller set of influences on Success, the trio are forced to blow up their image to a much larger scale.
Storytelling OST	Belle & Sebastian	Indie	2002-06-04 00:00:00	Neumu.net	59.0	[A] tired, uninspired collection of music and songs.
Empire: Original Soundtrack from Season 1	Empire Cast	Rap	2015-03-10 00:00:00	Complex	61.0	The rap songs are dated and goofy as hell, but occasionally they're catchy enough. Luckily, Empire keeps a few true R&B; greats on call for the love of musicality.
Corsicana Lemonade	White Denim	Pop/Rock	2013-10-29 00:00:00	Classic Rock Magazine	80.0	"Corsicana Lemonade flips through a crateful of classic rock tropes, yet sounds spankingly ""now."" This extraordinary foursome just go from strength to strength. [Dec 2013, p.98]"
Broken Social Scene	Broken Social Scene	Indie	2005-10-04 00:00:00	The Guardian	82.0	This eponymous album mixes grunge, garage, classical, punk, prog and much else into an exuberant melange that sometimes feels as if several songs are going on at once.
Blitzkrieg Pop	T. Raumschmiere	Electronic	2005-08-23 00:00:00	Village Voice	62.0	What keeps Blitzkrieg from descending into petulant shtick is Haas's compositional ear.
Home	Dierks Bentley	Country	2012-02-07 00:00:00	PopMatters	70.0	Whether it represents Bentley releasing his inner stalker or not, there is a deep undercurrent of human longing on the album, on the fun and serious songs alike.
Loney, Noir	Loney, Dear	Indie	2007-02-06 00:00:00	matta	74.0	This is what Sigur Ros would sound like if they sang in English and released a twee-pop album. Gorgeous.
A Thousand Shark's Teeth	My Brightest Diamond	Indie	2008-06-17 00:00:00	PopMatters	72.0	It’s a swooning, big-gestured album to get lost in. Discovering new complexities and subtleties each time is an added bonus.
The  Argument	Grant Hart	Pop/Rock	2013-07-23 00:00:00	The Independent (UK)	80.0	Former Hüsker Dü drummer/songwriter Grant Hart exhibits huge ambition on The Argument.
The Drop	Pinkunoizu	Pop/Rock	2013-08-05 00:00:00	Q Magazine	76.0	There's little outright originality, but they're melodically strong and the male-female vocal interchange between Andreas Pallisgaard and drummer Jaleh Negari is captivating. [Sep 2013, p.107]
Valleys Of Neptune	Jimi Hendrix	Rock	2010-03-09 00:00:00	Paxster	68.0	Probably the worst Hendrix album I own, Valleys of Neptune is still a decent album with a couple of highlights. The title track is a nice,Probably the worst Hendrix album I own, Valleys of Neptune is still a decent album with a couple of highlights. The title track is a nice, psychedelic affair and 'Bleeding Heart' keeps Jimi bluesy, these along with Hear My Train A' Comin' are the best tracks on the album. But, the album is made worse by instrumentals that are nothing special. The album seems to forgot, Jimi's most underrated aspect, his superb voice and it serves to its detriment.&hellip;Full Review &raquo;
Disconnection Notice	Goldfinger	Rock	2005-02-15 00:00:00	PopMatters	52.0	Odd sonic and thematic tonal choices plague the album.
The Mountain	Heartless Bastards	Indie	2009-02-03 00:00:00	Pitchfork	75.0	With The Mountain, Heartless Bastards have shown that they have the tools and the talent to take at least tentative steps forward into a more ambitious and diverse sound. But it's surprising that they sound so introspective here when they could, and occasionally do, sound world-beating.
What It Means to Be Left-Handed	Mice Parade	Electronic	2010-09-14 00:00:00	Delusions of Adequacy	77.0	What it Means to Be Left-Handed is just that: a diverse assortment of refreshing new music from a band that has already developed and progressed their chops. It's a joyful occasion and for Mice Parade; a loud celebration down the street, rodents and all.
The Beekeeper	Tori Amos	Rock	2005-02-22 00:00:00	The New York Times	65.0	Her most down-to-earth album in years, because Ms. Amos has decided she doesn't have to pack every impulse into every song. Sometimes, now, a simple melody and a steady groove are enough. [21 Feb 2005]
The Stand Ins	Okkervil River	Indie	2008-09-09 00:00:00	The New York Times	78.0	Self-conscious as the lyrics are, the music is uninhibited: lurching into motion like a bar band, picking up speed, piling up instruments and letting them fall away.
Still Not Getting Any	Simple Plan	Rock	2004-10-26 00:00:00	Spin	66.0	[Simple Plan is] a band as spiritually distant from Dookie as John Mayaer is from Blind Willie McTell. [Dec 2004, p.124]
Strangers	Ed Harcourt	Indie	2005-02-01 00:00:00	Mojo	74.0	Often he makes a lot of noise without really connecting. [Oct 2004, p.100]
Individ	The Dodos	Pop/Rock	2015-01-27 00:00:00	Blurt Magazine	74.0	Individ challenges its listeners to discover the elusive melodies that reside below the surface, even though the clattering arrangements and oddly oblique atmospherics might prove to be a distraction.
Pull My Hair Back	Jessy Lanza	Electronic	2013-09-17 00:00:00	The Wire	79.0	The R&B; tropes are part of a reassuring past, and the half-there vocals don't add enigma so much as leave the music unchallenged and stick in its old ways. [Oct 2013, p.47]
New Earth Mud	Chris Robinson	Rock	2002-10-22 00:00:00	Mojo	55.0	A very fine record. [Feb 2003, p.86]
Yellow & Green	Baroness	Pop/Rock	2012-07-17 00:00:00	Q Magazine	82.0	It's the their best album yet. [Aug 2012, p.102]
Endless Wire	The Who	Rock	2006-10-31 00:00:00	Village Voice	64.0	Townshend's faith in rock 'n' roll as an appropriate vehicle for his biggest ideas is admirable, but Endless Wire does little to justify his devotion.
Peace Is the Mission	Major Lazer	Electronic	2015-06-01 00:00:00	Magnet	68.0	The best cuts here happen to be those hewing closer to Major Lazer's wake-and-bake dancehall origins. [No. 121, p.57]
Darlings	Kevin Drew	Pop/Rock	2014-03-18 00:00:00	Clash Music	67.0	Darlings is a concrete mixer full of ideas, although it’s tricky to pinpoint if Drew’s actually laid the foundations of a decent record.
Freedom of Speech	Speech Debelle	Rap	2012-02-21 00:00:00	The Independent (UK)	62.0	Speech Debelle shows some welcome signs of maturity on this follow-up.
Walking Field	Peals	Pop/Rock	2013-05-14 00:00:00	Mojo	75.0	Buzzing with delicate analogue warmth, the gamelan rhythms, toy-piano chimes and warped guitar loops or Walking Field are lullingly hypnotic and eerily deja entendu. [Jul 2013, p.87]
Doin' It Again	Skepta	Electronic	2011-01-31 00:00:00	The Guardian	56.0	With a distinctive, authentic voice and a sharp sense of humour, Doin' It Again may not make No 1, but it ought to allow Skepta to continue palling around with P Diddy in the knowledge he's still keeping it real.
Diver	Lemonade	Pop/Rock	2012-05-29 00:00:00	Q Magazine	64.0	Diver's appeal is immediate, its effect short and sharp. [Sep 2012, p.104]
Hawk	Isobel Campbell	Pop/Rock	2010-08-24 00:00:00	Uncut	75.0	"""Lately"" is a wonderfully uplifting finale to a finely conceived record, an eloquent testament to an unlikely partnership that's only now delivering its full potential. [Sep 2010, p.97]"
Shine A Light	The Constantines	Indie	2003-08-19 00:00:00	PopMatters	83.0	This is the kind of indie rock record you wait all year for.
Jacket Full Of Danger	Adam Green	Indie	2006-04-10 00:00:00	BBC collective	68.0	If this was any more showbiz it’d be performed on ice.
Walk the River	Guillemots	Alternative/Indie Rock	2011-04-18 00:00:00	New Musical Express (NME)	68.0	With two songs playing out at over nine minutes long, one feels that a decent edit would change things from somnambulant to plain dreamy.
Crazy Itch Radio	Basement Jaxx	Electronic	2006-09-12 00:00:00	Prefix Magazine	73.0	Infectious, progressive, immediate dance music.
Bad Magic	Motörhead	Pop/Rock	2015-08-28 00:00:00	Classic Rock Magazine	80.0	Occasionally, as on Fire Storm Hotel, with its shades of an 80s hair metal anthem, he sounds at once energised and enfeebled and you find yourself willing him to reach the velocity of yore. But most of the time, you could play these tracks to an alien and they would struggle to tell them apart from Motörhead’s 90s, or even 70s, work.
Our Shadows Will Remain	Joseph Arthur	Indie	2004-10-12 00:00:00	Stylus Magazine	82.0	Watch out for this guy’s next album, because I can guarantee it will contain a Top 40 hit. Go ahead and listen to him now so as to impress your friends later.
St. Vincent	St. Vincent	Pop/Rock	2014-02-25 00:00:00	American Songwriter	89.0	St. Vincent is an overwhelming listen the first, second, maybe even third time around.
Shock Value II	Timbaland	Rock	2009-12-08 00:00:00	Slant Magazine	50.0	Justin Timberlake and Drake both offer admirable turns, but are forced to operate with unenviably tepid production. The overall laziness of that facet is even more inexcusable coming from one of the most renowned producers of the last decade.
At Best Cuckold	Avi Buffalo	Pop/Rock	2014-09-09 00:00:00	The Guardian	73.0	Notwithstanding the distinctive high pitch of his voice, Avi’s music has evolved from the childlike lightness of his debut’s glorious highlight Truth Sets In--and perhaps that’s the crucial point: the truth has set in.
WIXIW	Liars	Pop/Rock	2012-06-05 00:00:00	Q Magazine	81.0	For a record that strives to sound disembodied, it has a powerful grip. [Jul 2012, p.105]
Rose City	Viva Voce	Indie	2009-05-26 00:00:00	Alternative Press	75.0	Sonically spacious and spontaneous, Rose City is an endlessly tuneful bouquet of beaty. [Jun 2009, p.102]
Social Rust	PC Worship	Pop/Rock	2014-09-09 00:00:00	Tiny Mix Tapes	80.0	The album is too overbearing to be much fun and too paint-by-the-numbers to feel dangerous.
Desire Lines	Camera Obscura	Pop/Rock	2013-06-04 00:00:00	AllMusic	78.0	Here it results in some of their best and most confident work to date.
Saint Bartlett	Damien Jurado	Indie	2010-05-25 00:00:00	American Songwriter	77.0	The sound is quintessentially opiate--almost sleep-inducing--and upon writing that, it should be clarified as a compliment, kind of like falling asleep to NPR: It gives good information, but the undertones and lush notes can lull you to dreams.
The Minimal Wave Tapes, Vol. 2	Various Artists	Electronic	2012-02-28 00:00:00	PopMatters	73.0	The Minimal Wave Tapes Volume 2 loses a bit of the first volume's vitality. Furthermore, by suggesting that this music can be replicated in any era, the collection betrays its former thesis that there was something particularly special about the historical circumstances that lead to all this music coming into being.
This Time Around	Hanson	Rock	2000-05-09 00:00:00	Billboard	67.0	It all adds up to a collection that successfully sets Hanson apart from the current teen-pop phenomenon that it helped start -- at least from a creative perspective.
Occasion	Kidz in the Hall	Rap	2011-11-22 00:00:00	Q Magazine	59.0	Their infectious electro-funk certainly has a new hedonistic swagger. [Feb 2012, p.104]
Television Man	Naomi Punk	Pop/Rock	2014-08-05 00:00:00	Rolling Stone	71.0	Sure, the songs' formulaic stop-and-spurt attack can wear on the listener's ears after a while--but this is an album well worth risking tinnitus for.
Monkeytown	Modeselektor	Electronic	2011-10-11 00:00:00	Dusted Magazine	67.0	Modeselektor's willingness to collaborate and explore sounds while still sticking to their identifiable, fat, bass-heavy crunk techno style is worth applauding, and there's no reason to think that they won't continue to remain relevant.
Heritage	College	Electronic	2013-09-17 00:00:00	Drowned In Sound	63.0	Fortunately Grellier includes enough moments of excitement to keep Heritage less of a soundtrack album and more a French disco LP stripped of vocals.
Como te Llama	Albert Hammond, Jr.	Indie	2008-07-08 00:00:00	Rolling Stone	64.0	On his second solo record, guitarist Albert Hammond Jr. hedges his bets with familiar guitar-pop exercises alongside tracks that find him stretching into uncharacteristic territory.
Tio Bitar	Dungen	Indie	2007-05-15 00:00:00	Hartford Courant	79.0	"""Tio Bitar"" is an excellent follow-up to ""Ta Det Lugnt,"" offering another far-out trip courtesy of Ejstes and his musical magic."
Actor	St. Vincent	Indie	2009-05-05 00:00:00	The A.V. Club	81.0	Mostly, as Actor demonstrates, St. Vincent has found her own voice--and it’s one you wouldn’t want reading your kids any bedtime stories.
